Aula,Día,Inicio,Fin,Código,Materia,Comisión,Cupo,Inscriptos,=ARRAYFORMULA(TO_PURE_NUMBER(E2:E)),Día,Capacidad,Estado
154,Viernes,22:00,22:01,00.00,,,,,00.00,5,,
Aula Magna,Viernes,22:00,22:01,00.00,,,,,00.00,5,,
,,,,,,,,,,,,
8,Sábado,22:00,22:01,00.00,,,,,00.00,6,,
10,Sábado,22:00,22:01,00.00,,,,,00.00,6,,
11,Sábado,22:00,22:01,00.00,,,,,00.00,6,,
12,Sábado,22:00,22:01,00.00,,,,,00.00,6,,
13,Sábado,22:00,22:01,00.00,,,,,00.00,6,,
21,Sábado,22:00,22:01,00.00,,,,,00.00,6,,
22,Sábado,22:00,22:01,00.00,,,,,00.00,6,,
23,Sábado,22:00,22:01,00.00,,,,,00.00,6,,
25,Sábado,22:00,22:01,00.00,,,,,00.00,6,,
26,Sábado,22:00,22:01,00.00,,,,,00.00,6,,
29,Sábado,22:00,22:01,00.00,,,,,00.00,6,,
30,Sábado,22:00,22:01,00.00,,,,,00.00,6,,
31,Sábado,22:00,22:01,00.00,,,,,00.00,6,,
32,Sábado,22:00,22:01,00.00,,,,,00.00,6,,
33,Sábado,22:00,22:01,00.00,,,,,00.00,6,,
104,Sábado,22:00,22:01,00.00,,,,,00.00,6,,
105,Sábado,22:00,22:01,00.00,,,,,00.00,6,,
106,Sábado,22:00,22:01,00.00,,,,,00.00,6,,
107,Sábado,22:00,22:01,00.00,,,,,00.00,6,,
110,Sábado,22:00,22:01,00.00,,,,,00.00,6,,
111,Sábado,22:00,22:01,00.00,,,,,00.00,6,,
112,Sábado,22:00,22:01,00.00,,,,,00.00,6,,
113,Sábado,22:00,22:01,00.00,,,,,00.00,6,,
116,Sábado,22:00,22:01,00.00,,,,,00.00,6,,
117,Sábado,22:00,22:01,00.00,,,,,00.00,6,,
120,Sábado,22:00,22:01,00.00,,,,,00.00,6,,
121,Sábado,22:00,22:01,00.00,,,,,00.00,6,,
122,Sábado,22:00,22:01,00.00,,,,,00.00,6,,
123,Sábado,22:00,22:01,00.00,,,,,00.00,6,,
124,Sábado,22:00,22:01,00.00,,,,,00.00,6,,
125,Sábado,22:00,22:01,00.00,,,,,00.00,6,,
126,Sábado,22:00,22:01,00.00,,,,,00.00,6,,
130,Sábado,22:00,22:01,00.00,,,,,00.00,6,,
131,Sábado,22:00,22:01,00.00,,,,,00.00,6,,
132,Sábado,22:00,22:01,00.00,,,,,00.00,6,,
133,Sábado,22:00,22:01,00.00,,,,,00.00,6,,
135,Sábado,22:00,22:01,00.00,,,,,00.00,6,,
140,Sábado,22:00,22:01,00.00,,,,,00.00,6,,
141,Sábado,22:00,22:01,00.00,,,,,00.00,6,,
142,Sábado,22:00,22:01,00.00,,,,,00.00,6,,
152,Sábado,22:00,22:01,00.00,,,,,00.00,6,,
154,Sábado,22:00,22:01,00.00,,,,,00.00,6,,
Aula Magna,Sábado,22:00,22:01,00.00,,,,,00.00,6,,
Lab A,Lunes,22:00,22:01,00.00,,,,,00.00,1,,
Lab C,Lunes,22:00,22:01,00.00,,,,,00.00,1,,
Lab Universia,Lunes,22:00,22:01,00.00,,,,,00.00,1,,
Lab A,Martes,22:00,22:01,00.00,,,,,00.00,2,,
Lab C,Martes,22:00,22:01,00.00,,,,,00.00,2,,
Lab Universia,Martes,22:00,22:01,00.00,,,,,00.00,2,,
Lab A,Miércoles,22:00,22:01,00.00,,,,,00.00,3,,
Lab C,Miércoles,22:00,22:01,00.00,,,,,00.00,3,,
Lab Universia,Miércoles,22:00,22:01,00.00,,,,,00.00,3,,
Lab A,Jueves,22:00,22:01,00.00,,,,,00.00,4,,
Lab C,Jueves,22:00,22:01,00.00,,,,,00.00,4,,
Lab Universia,Jueves,22:00,22:01,00.00,,,,,00.00,4,,
Lab A,Viernes,22:00,22:01,00.00,,,,,00.00,5,,
Lab C,Viernes,22:00,22:01,00.00,,,,,00.00,5,,
Lab Universia,Viernes,22:00,22:01,00.00,,,,,00.00,5,,
Lab A,Sábado,22:00,22:01,00.00,,,,,00.00,6,,
Lab C,Sábado,22:00,22:01,00.00,,,,,00.00,6,,
Lab Universia,Sábado,22:00,22:01,00.00,,,,,00.00,6,,
29,Jueves,10:00,11:00,12.33,Química orgánica II (Clase de problemas),A,,,12.33,4,46,
12,Viernes,11:00,13:00,12.32,Química orgánica I (Clase de problemas),A,,,12.32,5,38,
12,Viernes,13:00,15:00,00.00,Taller de inglés para profesores,A,,20,00.00,5,38,
122,Jueves,18:00,22:00,00.00,WEC - CACME Jornadas de energía,A,,40,00.00,4,90,
141,Lunes,14:00,17:00,12.34,Quimica Orgánica para Petróleo (Problemas),Q,,,12.34,1,30,
22,Lunes,13:00,16:00,00.00,PESCAR,A,,,00.00,1,30,
22,Jueves,13:00,16:00,00.00,PESCAR,A,,,00.00,4,30,
22,Viernes,13:00,16:00,00.00,PESCAR,A,,,00.00,5,30,
105,Jueves,13:00,15:00,93.51,Clase de Mecanica General (recuperatorios),A,,25,93.51,4,28,
106,Viernes,13:00,15:00,00.00,Ingles para Docentes,A,,,00.00,5,28,
124,Miercoles,14:00,17:00,00.00,Proyecto de Investig Eficiencia Energetica,A,,,00.00,,18,
107,Miercoles,14:00,16:00,93.17,Consulta Matematica I Curso B y E,A,,,93.17,,22,
31,Lunes,19:00,22:00,10.04,Plantas Industriales,A,,,10.04,1,72,
25,Lunes,8:00,9:00,12.01,Consulta de Quimica I y II,A,,,12.01,1,56,
12,Lunes,13:00,14:00,12.01,Consulta de Quimica I y II,A,,,12.01,1,38,
105,Viernes,13:00,14:00,12.01,Consulta de Quimica I y II,A,,,12.01,5,28,
116,Miercoles,12:30,14:00,00.00,Curso Intermediate,A,,,00.00,,28,
113,Viernes,11:30,13:00,00.00,Curso Advanced,A,,,00.00,5,28,
113,Vierne,13:00,14:30,00.00,Curso Intermediate,A,,,00.00,,28,
117,Martes,11:30,13:00,00.00,Curso Conversación,A,,,00.00,2,24,
141,Jueves,12:00,15:00,00.00,Curso Italiano,A,,,00.00,4,30,
106,Lunes,11:00,13:00,00.00,Curso Aleman,A,,,00.00,1,28,
107,Martes,17:00,19:00,00.00,Curso Italiano,A,,,00.00,2,22,
106,Martes,10:00,12:00,00.00,Curso Aleman,A,,,00.00,2,28,
106,Miercoles,9:00,11:00,00.00,Curso Chino,A,,,00.00,,28,
106,Miercoles,14:00,16:00,00.00,Curso Chino,A,,,00.00,,28,
117,Jueves,13:00,15:00,00.00,Curso Frances,A,,,00.00,4,24,
141,Viernes,16:00,18:00,00.00,Curso Portugues,A,,,00.00,5,30,
123,Lunes,13:00,15:00,00.00,Curso Portugues Inicial,A,,,00.00,1,28,
126,Martes,13:00,15:00,00.00,Curso Frances,A,,,00.00,2,30,
122,Martes,15:00,17:00,00.00,Curso Frances,A,,,00.00,2,90,
13,Sabado,8:00,14:00,00.00,Aula para Estudiar,A,,,00.00,,42,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,Martes,9:00,15:00,93.80,Matemática Ingreso (Cuatrimestral),ICM-Catherine's Moorlands,0,22,93.80,2,,
,Viernes,9:00,14:00,93.80,Matemática Ingreso (Cuatrimestral),ICM-Catherine's Moorlands,0,22,93.80,5,,
,Miércoles,8:00,11:00,93.80,Matemática Ingreso (Cuatrimestral),IPM-San Isidro,0,36,93.80,3,,
